"","symbol","date","open","high","low","close","volume","adjusted"
"187","PG",2020-10-22,141.490005,142.75,141.080002,141.449997,4502900,141.449997
"188","PG",2020-10-23,141.759995,142.880005,141.759995,142.380005,4278100,142.380005
"189","PG",2020-10-26,141.5,142.050003,140.009995,141.300003,5315500,141.300003
"190","PG",2020-10-27,141.940002,143.339996,141.649994,142.360001,6806700,142.360001
"191","PG",2020-10-28,140.449997,140.940002,137.309998,137.660004,8192200,137.660004
"192","PG",2020-10-29,137.350006,139.089996,135.800003,137.570007,5476900,137.570007
"193","PG",2020-10-30,137.179993,137.990005,134.679993,137.100006,6422000,137.100006
"194","PG",2020-11-02,138.509995,140,137.440002,138.5,6682800,138.5
"195","PG",2020-11-03,139.320007,142.660004,139.320007,141.220001,6244200,141.220001
"196","PG",2020-11-04,140.460007,143,140.270004,140.639999,5820600,140.639999
"197","PG",2020-11-05,142.440002,143.529999,141.779999,142.380005,5673100,142.380005
"198","PG",2020-11-06,142.669998,144.070007,142.380005,143.229996,4702300,143.229996
"199","PG",2020-11-09,146.149994,146.919998,137.600006,137.990005,12664700,137.990005
"200","PG",2020-11-10,138.100006,140.619995,137.149994,140.259995,7854000,140.259995
"201","PG",2020-11-11,141.850006,143,140.649994,142.070007,5554300,142.070007
"202","PG",2020-11-12,142.289993,142.550003,141.070007,142.149994,5631700,142.149994
"203","PG",2020-11-13,142.210007,144.479996,141.880005,144.279999,6466800,144.279999
"204","PG",2020-11-16,144.779999,144.779999,141.259995,142.429993,7976600,142.429993
"205","PG",2020-11-17,141.889999,143.470001,141.75,141.880005,6396800,141.880005
"206","PG",2020-11-18,141.990005,142.100006,139.660004,139.699997,6097100,139.699997
"207","PG",2020-11-19,139.869995,140.119995,138.449997,139.529999,5284100,139.529999
"208","PG",2020-11-20,139.529999,140.350006,138.630005,139.300003,4726900,139.300003
"209","PG",2020-11-23,139.320007,139.949997,137.860001,138.759995,4770600,138.759995
"210","PG",2020-11-24,138.830002,139.839996,138.070007,138.309998,7101800,138.309998
"211","PG",2020-11-25,138.160004,139.389999,138.039993,138.679993,8411300,138.679993
"212","PG",2020-11-27,138.589996,138.889999,137.529999,138.610001,4252200,138.610001
"213","PG",2020-11-30,138,139.199997,136.740005,138.869995,11640400,138.869995
"214","PG",2020-12-01,139.160004,139.539993,138.160004,139.369995,7169700,139.369995
"215","DIS",2020-07-01,112.82,115.599998,112.290001,113.010002,11930900,113.010002
"216","DIS",2020-07-02,115,115.099998,112,112.18,10312000,112.18
"217","DIS",2020-07-06,113.830002,114.529999,112.900002,114.43,11933400,114.43
"218","DIS",2020-07-07,113.629997,115.080002,112.610001,113.629997,10836500,113.629997
"219","DIS",2020-07-08,113.480003,117.129997,112.809998,116.660004,13629500,116.660004
"220","DIS",2020-07-09,116.510002,117.849998,115.379997,116.809998,13582900,116.809998
"221","DIS",2020-07-10,116.830002,119.440002,116.209999,119.339996,14207900,119.339996
"222","DIS",2020-07-13,119.940002,120.129997,115.889999,116.220001,15620200,116.220001
"223","DIS",2020-07-14,115.230003,119.080002,114.540001,118.660004,12425100,118.660004
"224","DIS",2020-07-15,121.629997,122.089996,119.699997,120.900002,15314200,120.900002
"225","DIS",2020-07-16,117.720001,119.989998,117.599998,119.43,10210100,119.43
"226","DIS",2020-07-17,118.900002,119.559998,117.059998,118.650002,9843500,118.650002
"227","DIS",2020-07-20,118.050003,118.489998,116.82,117.790001,8947900,117.790001
"228","DIS",2020-07-21,118.050003,120.389999,117.660004,118.620003,8956000,118.620003
"229","DIS",2020-07-22,118.190002,119.300003,117.93,119.029999,7063300,119.029999
"230","DIS",2020-07-23,118.860001,119.349998,117.010002,118.120003,7255800,118.120003
"231","DIS",2020-07-24,115.699997,118.209999,115.529999,117.610001,8233300,117.610001
"232","DIS",2020-07-27,117.199997,117.419998,115.68,116.309998,9413000,116.309998
"233","DIS",2020-07-28,115.459999,116.839996,114.68,116.18,6821100,116.18
"234","DIS",2020-07-29,116.220001,116.709999,115.110001,115.610001,9496500,115.610001
"235","DIS",2020-07-30,114.910004,116.290001,113.370003,115.660004,9713500,115.660004
"236","DIS",2020-07-31,115.220001,117.050003,114.120003,116.940002,9623800,116.940002
"237","DIS",2020-08-03,116.169998,117.120003,115.349998,116.349998,10229200,116.349998
"238","DIS",2020-08-04,115.959999,118.349998,115.760002,117.290001,17293900,117.290001
