"","symbol","date","adjusted","macd","signal","diff"
"74","NKE",2020-10-14,127.403671,3.98214908479002,4.17198021236062,-0.189831127570599
"75","NKE",2020-10-15,128.740982,3.70499864090852,4.21576844626449,-0.510769805355974
"76","NKE",2020-10-16,127.742989,3.44601220996934,4.2042368065773,-0.758224596607955
"77","NKE",2020-10-19,127.174133,3.1978421759397,4.12138385894385,-0.923541683004145
"78","NKE",2020-10-20,128.23201,3.02874191963123,3.95835666923936,-0.929614749608134
"79","NKE",2020-10-21,129.170105,2.80869577476983,3.72744563755306,-0.918749862783229
"80","NKE",2020-10-22,129.758942,2.60648424365042,3.49690875051963,-0.890424506869213
"81","NKE",2020-10-23,129.729004,2.17619818824053,3.24371745451995,-1.06751926627942
"82","NKE",2020-10-26,128.112244,1.66359485086403,2.9571907876404,-1.29359593677638
"83","NKE",2020-10-27,127.733009,1.01957465164704,2.62801585062452,-1.60844119897748
"84","NKE",2020-10-28,121.834877,0.379229200828068,2.2584859128378,-1.87925671200973
"85","NKE",2020-10-29,122.613312,0.0935210135826425,1.88598689101706,-1.79246587743441
"86","NKE",2020-10-30,119.83889,-0.261423177246445,1.50162407399637,-1.76304725124282
"87","NKE",2020-11-02,122.144249,-0.638857620527999,1.09411301397868,-1.73297063450668
"88","NKE",2020-11-03,124.339828,-0.870278711596173,0.685338071049126,-1.5556167826453
"89","NKE",2020-11-04,127.084312,-0.905824484875983,0.295081545657303,-1.20090603053329
"90","NKE",2020-11-05,129.439575,-0.951111565412444,-0.052397315859694,-0.89871424955275
"91","NKE",2020-11-06,128.641174,-1.05324976168988,-0.354268939476794,-0.698980822213084
"92","NKE",2020-11-09,128.691071,-1.19199850960919,-0.599999290727487,-0.591999218881707
"93","NKE",2020-11-10,127.453568,-1.33492602299646,-0.790460982263546,-0.544465040732917
"94","NKE",2020-11-11,127.403671,-1.38158542583543,-0.954361697754443,-0.427223728080987
"95","NKE",2020-11-12,126.385719,-1.36807710184983,-1.0773232449326,-0.290753856917233
"96","NKE",2020-11-13,128.02243,-0.920057927920903,-1.10856772353181,0.188509795610905
"97","NKE",2020-11-16,129.848755,-0.419796060734379,-1.05851409565828,0.638718034923897
"98","NKE",2020-11-17,131.94455,0.29038957382892,-0.925601422468842,1.21599099629776
"99","NKE",2020-11-18,131.365707,0.820393959634091,-0.728767475241449,1.54916143487554
"100","NKE",2020-11-19,131.645142,1.16885834547413,-0.481866574445448,1.65072491991958
"101","NKE",2020-11-20,132.712982,1.41522407128347,-0.192175176568485,1.60739924785196
"102","NKE",2020-11-23,133.860687,1.51671639713324,0.124673981223705,1.39204241590954
"103","NKE",2020-11-24,134.429535,1.67203815453476,0.463965490153726,1.20807266438103
"104","NKE",2020-11-25,135.267838,1.88453231066208,0.825366535988382,1.0591657746737
"105","NKE",2020-11-27,133.980438,2.16084185886369,1.16768873452,0.993153124343689
